Date,Open,High,Low,Close,Volume
2005-08-29,43.40355870803808,44.57164350739411,42.607416570411736,43.05620574951172,63972553
2005-08-30,43.21911917656035,43.63717035467454,42.97627987593589,43.50191879272461,62999919
2005-08-31,43.77242239615672,44.49478877549199,43.54187958527105,44.22735977172852,93999740
2005-09-01,44.20278374345647,44.845229689549264,44.20278374345647,44.67616271972656,74764182
2005-09-02,44.57163987455296,45.03887375621317,44.270395507865885,44.909767150878906,69581739
2005-09-05,45.001983237548814,45.32781729790217,44.76836630211963,44.90054702758789,52224536
2005-09-06,44.87902879242534,45.18027315635448,44.60237741378982,44.8114013671875,43420875
2005-09-08,45.12494244311669,45.831938224631095,45.08498212613993,45.41081619262695,74357032
2005-09-09,45.49382110129183,45.801210497310144,45.16183871437264,45.59526062011719,57343021
2005-09-12,45.81657211063051,46.348356022486655,45.74894468326676,46.26228713989258,52799613
2005-09-13,46.29302299220369,46.68955528756623,46.10551463251645,46.2499885559082,76416716
2005-09-14,46.10859631535191,46.477464849403695,45.281712952820605,45.55221939086914,59383645
2005-09-15,45.586037534279406,46.96622059735482,45.19257596059324,46.77256393432617,76116756
2005-09-16,46.96620664311385,47.205971807801625,46.47438310645331,46.972354888916016,54661723
2005-09-19,47.60865393920012,51.64162086866749,46.600413848993,46.9815788269043,53922696
2005-09-20,47.03077351324095,48.01442087045191,46.47747064318967,47.8269157409668,135365077
2005-09-21,47.95293712248778,48.2603264608146,46.1085945238874,48.09126281738281,160400406
2005-09-22,48.19884246974048,48.19884246974048,46.10858678090208,46.38216400146485,117798830
2005-09-23,47.21520732388183,47.21520732388183,45.43848859645205,45.97027587890625,147985891
2005-09-26,46.10859428954053,48.16810908607024,46.10859428954053,47.96830749511719,90435660
2005-09-27,48.561573305747565,48.93659009110471,47.956013683844645,48.44476318359375,99754361
2005-09-28,48.56772488291096,49.40690152234378,48.26033222355878,49.21017074584961,97726775
2005-09-29,49.182500263428544,50.00630951247779,49.182500263428544,49.69277191162109,99975589
2005-09-30,49.55136910778188,49.79113430025562,48.01441257734408,48.78596496582031,120956922
2005-10-03,48.26032895497293,49.35464136186583,48.26032895497293,48.82900238037109,67338023
